code,institution_letters,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021,institution,category,special_chars_2019,special_chars_2021,special_chars_2020
CK213,CK,Food Marketing and Entrepreneurship,,,462.0,,,,,466.0,,University College Cork (NUI),Business and administration,NaN,NaN,
CK214,CK,International Development,,,346.0,,,,,332.0,,University College Cork (NUI),Social and behavioural sciences,NaN,NaN,
CK301,CK,Law (Pathways) -  3 or 4 years,476.0,519.0,507.0,499.0,,,,533.0,532.0,University College Cork (NUI),Law,NaN,*,
CK302,CK,Law and French,453.0,531.0,542.0,,,,,545.0,,University College Cork (NUI),Law,NaN,NaN,
CK304,CK,Law and Irish,462.0,510.0,540.0,,,,,588.0,,University College Cork (NUI),Law,NaN,NaN,
CK307,CK,Law and Business,522.0,554.0,556.0,,,,,589.0,589.0,University College Cork (NUI),Law,NaN,*,
CK401,CK,Computer Science,402.0,456.0,468.0,,,,,503.0,495.0,University College Cork (NUI),Information and Communication Technologies (ICTs),NaN,NaN,
CK402,CK,Biological and Chemical Sciences,498.0,520.0,510.0,509.0,*,*,,555.0,555.0,University College Cork (NUI),Biological and related sciences,NaN,*,*
CK404,CK,Biological  Earth and Environmental Sciences,412.0,451.0,467.0,,,,,500.0,495.0,University College Cork (NUI),Biological and related sciences,NaN,*,
CK405,CK,Genetics,476.0,496.0,487.0,,,,,543.0,,University College Cork (NUI),Biological and related sciences,NaN,NaN,
CK406,CK,Chemical Sciences,457.0,488.0,485.0,472.0,,,,532.0,,University College Cork (NUI),Physical sciences,NaN,NaN,
CK407,CK,Mathematical Sciences,531.0,578.0,566.0,565.0,,*,,566.0,,University College Cork (NUI),Mathematics and statistics,NaN,NaN,*
CK408,CK,Physics and Astrophysics,511.0,566.0,554.0,542.0,,,,566.0,,University College Cork (NUI),Physical sciences,NaN,NaN,
CK409,CK,Industrial Physics - Offered jointly by UCC and CI,413.0,532.0,432.0,,,,,465.0,,University College Cork (NUI),Physical sciences,NaN,NaN,
CK411,CK,Data Science and Analytics,509.0,542.0,510.0,,,,,531.0,,University College Cork (NUI),Information and Communication Technologies (ICTs),NaN,NaN,
CK412,CK,Agricultural Science,457.0,509.0,496.0,496.0,*,*,,506.0,,University College Cork (NUI),Agriculture,NaN,NaN,*
CK504,CK,Nutritional Sciences,492.0,509.0,518.0,,,,,555.0,554.0,University College Cork (NUI),Biological and related sciences,NaN,*,
CK505,CK,Food Science,444.0,477.0,441.0,440.0,,*,,463.0,,University College Cork (NUI),Manufacturing and processing,NaN,NaN,*
CK600,CK,Engineering,465.0,532.0,487.0,,,,,510.0,509.0,University College Cork (NUI),Engineering and engineering trades,NaN,*,
