,category,variable,value,year
404,Health,points_r1_2019,398.0,2019
405,Health,points_r1_2019,462.0,2019
406,Health,points_r1_2019,409.0,2019
407,Health,points_r1_2019,379.0,2019
408,Arts,points_r1_2019,336.0,2019
409,Humanities (except languages),points_r1_2019,348.0,2019
410,Languages,points_r1_2019,348.0,2019
411,Law,points_r1_2019,520.0,2019
412,Business and administration,points_r1_2019,521.0,2019
413,Business and administration,points_r1_2019,498.0,2019
414,Business and administration,points_r1_2019,507.0,2019
415,Business and administration,points_r1_2019,601.0,2019
416,Social and behavioural sciences,points_r1_2019,388.0,2019
417,Social and behavioural sciences,points_r1_2019,476.0,2019
418,Social and behavioural sciences,points_r1_2019,517.0,2019
419,Social and behavioural sciences,points_r1_2019,330.0,2019
420,Agriculture,points_r1_2019,398.0,2019
421,Environment,points_r1_2019,403.0,2019
422,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",points_r1_2019,303.0,2019
423,Agriculture,points_r1_2019,252.0,2019
424,,points_r1_2019,433.0,2019
425,,points_r1_2019,279.0,2019
426,,points_r1_2019,293.0,2019
427,,points_r1_2019,400.0,2019
428,,points_r1_2019,618.0,2019
429,,points_r1_2019,312.0,2019
430,,points_r1_2019,367.0,2019
431,,points_r1_2019,391.0,2019
432,,points_r1_2019,287.0,2019
433,,points_r1_2019,356.0,2019
434,,points_r1_2019,388.0,2019
435,,points_r1_2019,464.0,2019
436,,points_r1_2019,341.0,2019
437,,points_r1_2019,501.0,2019
438,,points_r1_2019,315.0,2019
439,,points_r1_2019,473.0,2019
440,,points_r1_2019,381.0,2019
441,,points_r1_2019,300.0,2019
442,,points_r1_2019,348.0,2019
443,,points_r1_2019,321.0,2019
444,,points_r1_2019,553.0,2019
445,,points_r1_2019,487.0,2019
446,,points_r1_2019,440.0,2019
447,,points_r1_2019,312.0,2019
448,,points_r1_2019,451.0,2019
449,,points_r1_2019,491.0,2019
450,,points_r1_2019,357.0,2019
451,,points_r1_2019,377.0,2019
452,,points_r1_2019,420.0,2019
453,,points_r1_2019,325.0,2019
454,,points_r1_2019,341.0,2019
455,,points_r1_2019,462.0,2019
456,,points_r1_2019,400.0,2019
457,,points_r1_2019,301.0,2019
458,,points_r1_2019,322.0,2019
459,,points_r1_2019,300.0,2019
460,,points_r1_2019,440.0,2019
461,,points_r1_2019,432.0,2019
462,,points_r1_2019,375.0,2019
463,,points_r1_2019,437.0,2019
464,,points_r1_2019,300.0,2019
465,,points_r1_2019,308.0,2019
466,,points_r1_2019,271.0,2019
467,,points_r1_2019,284.0,2019
468,,points_r1_2019,356.0,2019
469,,points_r1_2019,275.0,2019
470,,points_r1_2019,392.0,2019
471,,points_r1_2019,321.0,2019
472,,points_r1_2019,397.0,2019
473,,points_r1_2019,343.0,2019
474,,points_r1_2019,383.0,2019
475,,points_r1_2019,443.0,2019
476,,points_r1_2019,468.0,2019
477,,points_r1_2019,403.0,2019
478,,points_r1_2019,326.0,2019
479,,points_r1_2019,307.0,2019
480,,points_r1_2019,371.0,2019
481,,points_r1_2019,422.0,2019
482,,points_r1_2019,,2019
483,,points_r1_2019,552.0,2019
484,,points_r1_2019,667.0,2019
485,,points_r1_2019,668.0,2019
486,,points_r1_2019,353.0,2019
487,,points_r1_2019,700.0,2019
488,,points_r1_2019,394.0,2019
489,,points_r1_2019,385.0,2019
490,,points_r1_2019,347.0,2019
491,,points_r1_2019,252.0,2019
492,,points_r1_2019,280.0,2019
493,Business and administration,points_r1_2019,303.0,2019
494,Business and administration,points_r1_2019,290.0,2019
495,Information and Communication Technologies (ICTs),points_r1_2019,309.0,2019
496,Business and administration,points_r1_2019,307.0,2019
497,Business and administration,points_r1_2019,307.0,2019
498,Business and administration,points_r1_2019,297.0,2019
499,Agriculture,points_r1_2019,280.0,2019
500,Arts,points_r1_2019,287.0,2019
501,Social and behavioural sciences,points_r1_2019,238.0,2019
502,Arts,points_r1_2019,260.0,2019
503,Arts,points_r1_2019,309.0,2019
504,Education,points_r1_2019,,2019
505,Personal services,points_r1_2019,225.0,2019
506,Personal services,points_r1_2019,261.0,2019
507,Manufacturing and processing,points_r1_2019,225.0,2019
508,Personal services,points_r1_2019,209.0,2019
509,Architecture and construction,points_r1_2019,260.0,2019
510,Architecture and construction,points_r1_2019,280.0,2019
511,Architecture and construction,points_r1_2019,251.0,2019
512,Architecture and construction,points_r1_2019,270.0,2019
513,Engineering and engineering trades,points_r1_2019,301.0,2019
514,Engineering and engineering trades,points_r1_2019,336.0,2019
515,Engineering and engineering trades,points_r1_2019,281.0,2019
516,Engineering and engineering trades,points_r1_2019,331.0,2019
517,Engineering and engineering trades,points_r1_2019,301.0,2019
518,Engineering and engineering trades,points_r1_2019,346.0,2019
519,Manufacturing and processing,points_r1_2019,,2019
520,Biological and related sciences,points_r1_2019,300.0,2019
521,Biological and related sciences,points_r1_2019,317.0,2019
522,Environment,points_r1_2019,307.0,2019
523,Physical sciences,points_r1_2019,373.0,2019
524,Biological and related sciences,points_r1_2019,327.0,2019
525,Health,points_r1_2019,451.0,2019
526,Physical sciences,points_r1_2019,300.0,2019
527,Information and Communication Technologies (ICTs),points_r1_2019,275.0,2019
528,Information and Communication Technologies (ICTs),points_r1_2019,270.0,2019
529,Agriculture,points_r1_2019,297.0,2019
530,Personal services,points_r1_2019,350.0,2019
531,Biological and related sciences,points_r1_2019,364.0,2019
532,Health,points_r1_2019,389.0,2019
533,Health,points_r1_2019,346.0,2019
534,Personal services,points_r1_2019,210.0,2019
535,Humanities (except languages),points_r1_2019,228.0,2019
536,Welfare,points_r1_2019,260.0,2019
537,Education,points_r1_2019,278.0,2019
538,Environment,points_r1_2019,,2019
539,,points_r1_2019,,2019
540,Education,points_r1_2019,376.0,2019
541,,points_r1_2019,271.0,2019
542,,points_r1_2019,270.0,2019
543,,points_r1_2019,,2019
544,Arts,points_r1_2019,,2019
545,,points_r1_2019,219.0,2019
546,Business and administration,points_r1_2019,269.0,2019
547,Business and administration,points_r1_2019,251.0,2019
548,Information and Communication Technologies (ICTs),points_r1_2019,228.0,2019
549,Business and administration,points_r1_2019,251.0,2019
550,Business and administration,points_r1_2019,307.0,2019
551,Business and administration,points_r1_2019,269.0,2019
552,,points_r1_2019,,2019
553,Business and administration,points_r1_2019,246.0,2019
554,Business and administration,points_r1_2019,181.0,2019
555,Business and administration,points_r1_2019,217.0,2019
556,Law,points_r1_2019,225.0,2019
557,Business and administration,points_r1_2019,246.0,2019
558,Information and Communication Technologies (ICTs),points_r1_2019,217.0,2019
559,Journalism and information,points_r1_2019,227.0,2019
560,Arts,points_r1_2019,,2019
561,Arts,points_r1_2019,267.0,2019
562,Arts,points_r1_2019,,2019
563,Journalism and information,points_r1_2019,,2019
564,Personal services,points_r1_2019,327.0,2019
565,,points_r1_2019,254.0,2019
566,Arts,points_r1_2019,300.0,2019
567,Social and behavioural sciences,points_r1_2019,507.0,2019
568,Humanities (except languages),points_r1_2019,318.0,2019
569,Education,points_r1_2019,411.0,2019
570,Social and behavioural sciences,points_r1_2019,382.0,2019
571,Arts,points_r1_2019,402.0,2019
572,Social and behavioural sciences,points_r1_2019,338.0,2019
573,Arts,points_r1_2019,328.0,2019
574,Arts,points_r1_2019,410.0,2019
575,Journalism and information,points_r1_2019,410.0,2019
576,Arts,points_r1_2019,308.0,2019
577,Social and behavioural sciences,points_r1_2019,357.0,2019
578,Arts,points_r1_2019,324.0,2019
579,Arts,points_r1_2019,387.0,2019
