,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
1162,Arts,Drama Studies/Modern Language,TR323,#473,,,,#473,,,8,Trinity College Dublin,#,,
1163,Arts,Film/Modern Language,TR324,,*,,,,*,,8,Trinity College Dublin,,,
1164,Arts,Film/History,TR325,,,,,,,,8,Trinity College Dublin,,,
1165,Arts,Geography/Modern Language,TR326,,,,,,,,8,Trinity College Dublin,,,
1166,Arts,Geography/Sociology,TR332,,*,,,,,,8,Trinity College Dublin,,,
1167,Arts,History/History of Art and Architecture,TR443,,,,,,,,8,Trinity College Dublin,,,
1168,Arts,History/Modern Language,TR447,,,,,,,,8,Trinity College Dublin,,,
1169,Arts,History/Philosophy,TR449,,,,,,,,8,Trinity College Dublin,,,
1170,Arts,History/Sociology,TR452,,,,,,,,8,Trinity College Dublin,,,
1171,Arts,History/Religion,TR454,,,,,,,,8,Trinity College Dublin,,,
1172,Arts,History of Art and Architecture/Modern Language,TR455,,,,,,,,8,Trinity College Dublin,,,
1173,Arts,History of Art and Architecture/Philosophy,TR479,,,,,,,,8,Trinity College Dublin,,,
1174,Arts,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,,,,,,,,8,Trinity College Dublin,,,
1175,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,,,,,,,,8,Trinity College Dublin,,,
1176,Arts,"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,,,,,,,,8,Trinity College Dublin,,,
1177,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,,,,,,,,8,Trinity College Dublin,,,
1178,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,,,,,,,,8,Trinity College Dublin,#,,
1179,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,,,,,,,,8,Trinity College Dublin,,,
1180,Arts,Mathematics/Modern Language,TR597,,*,,,,*,,8,Trinity College Dublin,,,
1181,Arts,Mathematics/Music,TR598,,*,,,,*,,8,Trinity College Dublin,#,,
1182,Arts,Mathematics/Philosophy,TR599,,*,,,,*,,8,Trinity College Dublin,,,
1183,Arts,Music/Philosophy,TR629,,,,,,,,8,Trinity College Dublin,#,,
1184,Arts,Music/Drama Studies,TR635,#473,,,,#473,,,8,Trinity College Dublin,#,,
1185,Arts,Music/Modern Language,TR636,,,,,,,,8,Trinity College Dublin,#,,
1186,Arts,Music/Religion,TR638,,,,,,,,8,Trinity College Dublin,#,,
1187,Arts,Philosophy/Modern Language,TR639,,,,,,,,8,Trinity College Dublin,,,
1188,Arts,Philosophy/Sociology,TR662,,,,,,,,8,Trinity College Dublin,,,
1189,Arts,Religion/Classical Civilisation,TR663,,,,,,,,8,Trinity College Dublin,,,
1190,Arts,Religion/English Literature,TR664,,*,,,,*,,8,Trinity College Dublin,,,
1191,Arts,Religion/History of Art and Architecture,TR665,,,,,,,,8,Trinity College Dublin,,,
1192,Arts,Religion/Modern Language,TR666,,,,,,,,8,Trinity College Dublin,,,
1193,Arts,French/Modern Language,TR667,,,,,,,,8,Trinity College Dublin,,,
1194,Arts,German/Modern Language,TR668,,,,,,,,8,Trinity College Dublin,,,
1195,Arts,Irish/Modern Language,TR669,,,,,,,,8,Trinity College Dublin,,,
1196,Arts,Italian/Modern Language,TR670,,,,,,,,8,Trinity College Dublin,,,
1197,Arts,Russian/Modern Language,TR671,,,,,,,,8,Trinity College Dublin,,,
1198,Arts,Spanish/Modern Language,TR672,,,,,,,,8,Trinity College Dublin,,,
1199,Arts,Sociology/Drama Studies,TR755,#498,,,,#498,,,8,Trinity College Dublin,#,,
1200,Arts,Sociology/Modern Language,TR756,,,,,,,,8,Trinity College Dublin,,,
1204,Health,Children`s and General Nursing (Integrated),TR911,,,,,,*,,8,Trinity College Dublin,,,
1205,Health,Midwifery,TR913,,,,*,,*,,8,Trinity College Dublin,,,
1286,Engineering and engineering trades,Biomedical Design,TU801,,,,,,,,8,Technological University Dublin,,avp,
1287,Engineering and engineering trades,Electrical Services and Energy Management,TU802,,,,,,,,8,Technological University Dublin,,,
1288,Engineering and engineering trades,Electronic Engineering,TU803,,,243,,,,,8,Technological University Dublin,,avp,
1289,Engineering and engineering trades,Engineering (Common Entry with Award options),TU804,,,,,,,,8,Technological University Dublin,,,
1290,Engineering and engineering trades,Engineering (General Entry),TU805,,,,,,,,8,Technological University Dublin,,,
1291,Engineering and engineering trades,Sustainable Energy Engineering,TU806,,,,,,,,8,Technological University Dublin,,avp,
1292,Engineering and engineering trades,Computer Engineering in Mobile Systems,TU807,,,,,,,,8,Technological University Dublin,,,
1293,Engineering and engineering trades,Engineering Software,TU808,,,260,,,,,8,Technological University Dublin,,avp,
1294,Engineering and engineering trades,Mechanical Engineering,TU809,,,,,,,,8,Technological University Dublin,,avp,
1295,Engineering and engineering trades,Mechatronic Engineering,TU810,,,,,,,,8,Technological University Dublin,,,
1296,Arts,Product Design,TU811,,,,,,,,8,Technological University Dublin,,,
1297,Manufacturing and processing,"Design,Technology and Innovation",TU812,,,,,,,,8,Technological University Dublin,,,
1298,Engineering and engineering trades,Automation Engineering,TU813,,,218,,,,,8,Technological University Dublin,,avp,
1299,Transport services,Transport Operations and Technology,TU814,,,,,,,,8,Technological University Dublin,,avp,
1300,Architecture and construction,Architectural Technology,TU831,,,,,,,,8,Technological University Dublin,,,
1301,Architecture and construction,Architecture (Suitability Test and Interview),TU832,,,,,,,,8,Technological University Dublin,#,,
1302,Architecture and construction,Construction Management,TU833,,,,,,,,8,Technological University Dublin,,,
1303,Architecture and construction,Geographic Science,TU834,,,,,,,,8,Technological University Dublin,,,
1304,Architecture and construction,Planning and Environmental Management,TU835,,,,,,,,8,Technological University Dublin,,,
1305,Architecture and construction,Property Economics (Valuation Surveying),TU836,,,,,,,,8,Technological University Dublin,,,
1306,Architecture and construction,Quantity Surveying and Construction Economics,TU837,,,,,,,,8,Technological University Dublin,,,
1307,Environment,Analytical Chemistry (Environmental Forensic and Pharmaceutical),TU851,,,,,,,,8,Technological University Dublin,,,
1308,Physical sciences,Chemical Sciences with Medicinal Chemistry,TU852,,,,,,,,8,Technological University Dublin,,,
1309,Biological and related sciences,Science (General Entry),TU854,,,,,,,,8,Technological University Dublin,,,
1310,Physical sciences,Science with Nanotechnology,TU855,,,,,,,,8,Technological University Dublin,,,
1311,Information and Communication Technologies (ICTs),Computer Science,TU856,,,,,,,,8,Technological University Dublin,,,
1312,Information and Communication Technologies (ICTs),Computer Science (Infrastructure),TU857,,,,,,,,8,Technological University Dublin,,,
1313,Information and Communication Technologies (ICTs),Computer Science (International),TU858,,,,,,,,8,Technological University Dublin,,,
1314,Information and Communication Technologies (ICTs),Computing,TU859,,,,,,,,8,Technological University Dublin,,avp,
1315,Information and Communication Technologies (ICTs),Computing (Information Technology),TU860,,,,,,,,8,Technological University Dublin,,,
1316,Information and Communication Technologies (ICTs),Computing with Language (French/German/Spanish),TU861,,,308,,,,,8,Technological University Dublin,,avp,
1317,Information and Communication Technologies (ICTs),Computing with Data Analytics,TU862,,,226,,,,,8,Technological University Dublin,,avp,
1318,Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU863,,,,,,,,8,Technological University Dublin,,,
1319,Biological and related sciences,DNA and Forensic Analysis,TU864,,,,,,,,8,Technological University Dublin,,,
1320,Information and Communication Technologies (ICTs),Computing with IT Management,TU865,,,,,,,,8,Technological University Dublin,,,
1321,Health,Biomedical and Molecular Diagnostics,TU866,,,,,,,,8,Technological University Dublin,,,
1322,Health,Biomedical Science,TU867,,,,,,,,8,Technological University Dublin,,,
1323,Health,Clinical Measurement Science,TU868,,,,,,,,8,Technological University Dublin,,,
1324,Hygiene and occupational health services,Environmental Health,TU869,,,,,,,,8,Technological University Dublin,,,
1325,Health,Human Nutrition and Dietetics,TU870,,,,,,,,8,Technological University Dublin,,,
1326,Health,Optometry,TU871,,,,,,,,8,Technological University Dublin,,,
1327,Biological and related sciences,Public Health Nutrition,TU872,,,,,,,,8,Technological University Dublin,,,
1328,Mathematics and statistics,Industrial Mathematics,TU873,,,250,,,,,8,Technological University Dublin,,avp,
1329,Mathematics and statistics,Mathematical Sciences,TU874,,,,,,,,8,Technological University Dublin,,,
1330,Biological and related sciences,Pharmaceutical Healthcare,TU875,,,,,,,,8,Technological University Dublin,,,
1331,Biological and related sciences,Pharmaceutical Science,TU876,,,,,,,,8,Technological University Dublin,,,
1332,Physical sciences,Physics Technology,TU877,,,,,,,,8,Technological University Dublin,,,
1333,Physical sciences,Physics with Energy and Environment,TU878,,,337,,,,,8,Technological University Dublin,,avp,
1334,Health,Physics with Medical Physics and Bioengineering,TU879,,,,,,,,8,Technological University Dublin,,,
1335,Physical sciences,Physics with Data Science,TU880,,,,,,,,8,Technological University Dublin,,,
1336,Manufacturing and processing,Food Innovation,TU881,,,,,,,,8,Technological University Dublin,,,
1337,Biological and related sciences,Nutraceuticals in Health and Nutrition,TU882,,,,,,,,8,Technological University Dublin,,,
1338,Business and administration,Business,TU901,,,,,,,,8,Technological University Dublin,,,
1339,Business and administration,Business (Common Entry with Award options),TU902,,,,,,,,8,Technological University Dublin,,,
1340,Business and administration,Business and Management,TU903,,,,,,,,8,Technological University Dublin,,,
1341,Business and administration,Business and Law,TU904,,,,,,,,8,Technological University Dublin,,,
1342,Social and behavioural sciences,Economics and Finance,TU905,,,,,,,,8,Technological University Dublin,,,
1343,Business and administration,Human Resource Management,TU906,,,,,,,,8,Technological University Dublin,,,
1344,Business and administration,Logistics and Supply Chain Management,TU907,,,,,,,,8,Technological University Dublin,,,
1345,Business and administration,Management,TU908,,,,,,,,8,Technological University Dublin,,avp,
1346,Business and administration,Accounting and Finance,TU909,,,,,,,,8,Technological University Dublin,,,
1347,Business and administration,Accounting and Finance,TU910,,,,,,,,8,Technological University Dublin,,,
1348,Business and administration,Accounting and Finance,TU911,,,,,,,,8,Technological University Dublin,,avp,
1349,Information and Communication Technologies (ICTs),Business Analytics,TU912,,,,,,,,8,Technological University Dublin,,,
1350,Business and administration,Business and Information Technology,TU913,,,,,,,,8,Technological University Dublin,,,
1351,Information and Communication Technologies (ICTs),Business Computing,TU914,,,,,,,,8,Technological University Dublin,,,
1352,Business and administration,International Business,TU915,,,,,,,,8,Technological University Dublin,,,
1353,Business and administration,International Business,TU916,,,235,,,,,8,Technological University Dublin,,avp,
1354,Law,Law (LLB ) with a Language,TU917,,,,,,,,8,Technological University Dublin,,,
1355,Law,Law (LLB),TU918,,,,,,,,8,Technological University Dublin,,,
1356,Business and administration,Advertising and Marketing Communications,TU919,,,,,,,,8,Technological University Dublin,,avp,
1357,Business and administration,Digital Marketing,TU920,,,,,,,,8,Technological University Dublin,,,
1358,Business and administration,Digital Marketing Technologies,TU921,,,,,,,,8,Technological University Dublin,,avp,v
1359,Business and administration,Marketing,TU922,,,,,,,,8,Technological University Dublin,,,
1360,Business and administration,Marketing Management,TU923,,,,,,,,8,Technological University Dublin,,avp,
1361,Business and administration,E-Commerce in Retailing,TU924,,,,,,,,8,Technological University Dublin,,,
1362,Business and administration,Retail and Services Management,TU925,,,,,,,,8,Technological University Dublin,,,
1363,Personal services,Sports Management and Coaching,TU935,,,,,,,,8,Technological University Dublin,,,
1364,Biological and related sciences,Sports Science and Health,TU936,,,,,,,,8,Technological University Dublin,,,
1365,Personal services,Botanical Cuisine,TU941,,,,,,,,8,Technological University Dublin,,avp,
1366,Personal services,Culinary Arts,TU942,,,212,,,,,8,Technological University Dublin,,avp,
1367,Personal services,Culinary Entrepreneurship,TU943,,,,,,,,8,Technological University Dublin,,,
1368,Personal services,Culinary Science,TU944,,,,,,,,8,Technological University Dublin,,,
1369,Personal services,International Hospitality and Tourism Management,TU951,,,184,,,,,8,Technological University Dublin,,avp,v
1370,Personal services,International Hospitality Management,TU952,,,,,,,,8,Technological University Dublin,,,
1371,Personal services,Tourism and Digital Marketing,TU953,,,,,,,,8,Technological University Dublin,,,
1372,Personal services,Event Management,TU954,,,,,,,,8,Technological University Dublin,,,
1373,Personal services,Sports & Leisure Management,TU955,,,,,,,,8,Technological University Dublin,,avp,
1374,Arts,Commercial Modern Music,TU961,,,,,,,,8,Technological University Dublin,#,avp,
1375,Arts,Drama (Performance),TU962,,,,,,,,8,Technological University Dublin,#,,
1376,Arts,Music,TU963,,,,,,,,8,Technological University Dublin,#,,
1377,Business and administration,International Business and Languages,TU965,,,,,,,,8,Technological University Dublin,,,
1378,Languages,Languages and English Studies,TU966,,,,,,,,8,Technological University Dublin,,avp,v
1379,Arts,Languages and International Tourism,TU967,,,,,,,,8,Technological University Dublin,,,
1380,Arts,Contemporary Visual Culture,TU971,,,,,,,,8,Technological University Dublin,,,
1381,Arts,Creative and Cultural Industries,TU972,,,,,,,,8,Technological University Dublin,,,
1382,Arts,Design - Visual Communication,TU973,,,,,,,,8,Technological University Dublin,#,,
1383,Arts,Fine Art,TU974,,,,,,,,8,Technological University Dublin,#,,
1384,Arts,Interior Design,TU975,,,,,,,,8,Technological University Dublin,#,,
1385,Arts,Photography,TU976,,,,,,,,8,Technological University Dublin,#,,
1386,Arts,Creative Digital Media,TU981,,,,,,,,8,Technological University Dublin,,,
1387,Arts,Creative Digital Media,TU982,,,,,,,,8,Technological University Dublin,,,
1388,Arts,Film and Broadcasting,TU983,,,,,,,,8,Technological University Dublin,,,
1389,Information and Communication Technologies (ICTs),Game Design,TU984,,,,,,,,8,Technological University Dublin,,,
1390,Journalism and information,Journalism,TU985,,,,,,,,8,Technological University Dublin,,,
1391,Business and administration,Print Media Technology and Management,TU986,,,,,,,,8,Technological University Dublin,,,
1392,Welfare,Applied Social Studies in Social Care,TU991,,,,,,,,8,Technological University Dublin,,,
1393,Social and behavioural sciences,Community and Youth Development,TU992,,,,,,,,8,Technological University Dublin,,,
1394,Welfare,Early Childhood Care and Education,TU993,,,,,,,,8,Technological University Dublin,,,
1395,Welfare,Early Childhood Care and Education,TU994,,,,,,,,8,Technological University Dublin,,,
1396,Education,Early Childhood Education,TU995,,,,,,,,8,Technological University Dublin,,,
1397,Social and behavioural sciences,Social Care,TU996,,,,,,,,8,Technological University Dublin,,,
1398,Welfare,Applied Social Care,TU997,,,,,,,,8,Technological University Dublin,,,
1399,Information and Communication Technologies (ICTs),Applied Computing (options),WD001,,,,,,,,8,Waterford Institute of Technology,,avp,
1400,Physical sciences,Science (options),WD002,,,,,,,,8,Waterford Institute of Technology,,,
1402,Health,Health Sciences (options),WD005,,,,,,,,8,Waterford Institute of Technology,,,
1403,Personal services,Exercise Sciences (options),WD006,,,,,,,,8,Waterford Institute of Technology,,,
1404,Engineering and engineering trades,Engineering (options),WD007,,,,,,,,8,Waterford Institute of Technology,,avp,
1410,Architecture and construction,Construction Management and Engineering,WD025,,,,,,,,8,Waterford Institute of Technology,,,
1411,Arts,Music,WD027,,,,,,,,8,Waterford Institute of Technology,#,,
1412,Business and administration,Business (options),WD048,,,,,,,,8,Waterford Institute of Technology,,,
1414,Business and administration,Accounting,WD084,,,,,,,,8,Waterford Institute of Technology,,,
1415,Personal services,Hospitality Management,WD091,,,,,,,,8,Waterford Institute of Technology,,,
1419,Health,General Nursing,WD116,,,,,,,,8,Waterford Institute of Technology,,,
1420,Health,Psychiatric Nursing,WD117,,,,,,,,8,Waterford Institute of Technology,,,
1421,Health,Intellectual Disability Nursing,WD120,,,,,,,,8,Waterford Institute of Technology,,,
1423,Business and administration,International Business,WD134,,,,,,,,8,Waterford Institute of Technology,,,
1424,Arts,Design (Visual Communications),WD137,,,,,,,,8,Waterford Institute of Technology,,,
1426,Law,Laws,WD140,,,,,,,,8,Waterford Institute of Technology,,,
1427,Architecture and construction,Architecture,WD144,,,,,,,,8,Waterford Institute of Technology,,,
1428,Physical sciences,Pharmaceutical Science,WD147,,,,,,,,8,Waterford Institute of Technology,,,
1429,Welfare,Early Childhood Studies,WD149,,,,,,,,8,Waterford Institute of Technology,,,
1430,Law,Criminal Justice Studies,WD150,,,,,,,,8,Waterford Institute of Technology,,,
1432,Arts,Visual Art,WD152,AQA,,,,AQA,,,8,Waterford Institute of Technology,,,
1436,Information and Communication Technologies (ICTs),Computer Forensics and Security,WD161,,,,,,,,8,Waterford Institute of Technology,,,
1437,Architecture and construction,Quantity Surveying,WD162,,,,,,,,8,Waterford Institute of Technology,,,
1438,Social and behavioural sciences,Psychology,WD163,,,,,,,,8,Waterford Institute of Technology,,,
1447,Personal services,Sports Coaching and Performance,WD186,,,,,,,,8,Waterford Institute of Technology,,,
1448,Welfare,Social Science,WD187,,,,,,,,8,Waterford Institute of Technology,,,
1450,Agriculture,Agricultural Science,WD191,,,,,,,,8,Waterford Institute of Technology,,,
1451,Welfare,Social Care Practice,WD192,,,,,,,,8,Waterford Institute of Technology,,,
1452,Business and administration,Marketing and Digital Media,WD193,,,,,,,,8,Waterford Institute of Technology,,,
1453,Personal services,Culinary Arts,WD194,,,,,,,,8,Waterford Institute of Technology,,,
1454,Architecture and construction,Architectural and Building Information Modelling Technology,WD195,,,,,,,,8,Waterford Institute of Technology,,,
1455,Arts,Arts (options),WD200,AQA,,AQA,,AQA,,,8,Waterford Institute of Technology,,avp,
1460,Information and Communication Technologies (ICTs),Software Systems Development,WD210,,,,,,,,8,Waterford Institute of Technology,,,
1461,Information and Communication Technologies (ICTs),Creative Computing,WD211,,,,,,,,8,Waterford Institute of Technology,,,
1462,Personal services,Recreation and Sport Management,WD212,,,,,,,,8,Waterford Institute of Technology,,,
1463,Engineering and engineering trades,Mechanical and Manufacturing Engineering,WD230,,,,,,,,8,Waterford Institute of Technology,,,
