,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
248,Agriculture,Sustainable Farm Management and Agribusiness,CW078,,,,,,,,8,"Institute of Technology, Carlow",,,
249,Arts,Visual Communications and Design,CW088,,,,,,,,8,"Institute of Technology, Carlow",,,
252,Biological and related sciences,Science (options),CW108,,,,,,,,8,"Institute of Technology, Carlow",,,
256,Biological and related sciences,Brewing and Distilling,CW128,,,,,,,,8,"Institute of Technology, Carlow",,,
257,Personal services,Sport and Exercise Science,CW138,,,,,,,,8,"Institute of Technology, Carlow",,,
258,Personal services,Strength and Conditioning,CW148,,,,,,,,8,"Institute of Technology, Carlow",,,
259,Health,Sport Rehabilitation and Athletic Therapy,CW188,,,,,,,,8,"Institute of Technology, Carlow",,,
262,Information and Communication Technologies (ICTs),Computer Games Development,CW208,,,,,,,,8,"Institute of Technology, Carlow",,,
266,Information and Communication Technologies (ICTs),Software Development,CW238,,,,,,,,8,"Institute of Technology, Carlow",,,
267,Information and Communication Technologies (ICTs),Information Technology Management,CW248,,,,,,,,8,"Institute of Technology, Carlow",,,
268,Information and Communication Technologies (ICTs),Cybercrime and IT Security,CW258,,,,,,,,8,"Institute of Technology, Carlow",,,
269,Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,CW268,,,,,,,,8,"Institute of Technology, Carlow",,,
273,Architecture and construction,Construction (options),CW438,,,,,,,,8,"Institute of Technology, Carlow",,,
274,Architecture and construction,Architectural Technology,CW468,,,,,,,,8,"Institute of Technology, Carlow",,,
275,Architecture and construction,Civil Engineering,CW478,,,,,,,,8,"Institute of Technology, Carlow",,,
280,Engineering and engineering trades,Mechanical Engineering,CW548,,,,,,,,8,"Institute of Technology, Carlow",,,
281,Engineering and engineering trades,Electronic Systems,CW558,,,,,,,,8,"Institute of Technology, Carlow",,,
282,Engineering and engineering trades,Aerospace Engineering,CW568,,,,,,,,8,"Institute of Technology, Carlow",,,
283,Arts,TV and Media Production,CW578,,,,,,,,8,"Institute of Technology, Carlow",,,
286,Law,Law - LLB,CW708,,,,,,,,8,"Institute of Technology, Carlow",,,
288,Arts,Product Design Innovation,CW728,,,,,,,,8,"Institute of Technology, Carlow",,,
289,Welfare,Early Childhood Education and Care,CW748,,,,,,,,8,"Institute of Technology, Carlow",,,
290,Welfare,Professional Social Care Practice,CW758,,,,,,,,8,"Institute of Technology, Carlow",,,
292,Business and administration,Media and Public Relations,CW808,,,,,,,,8,"Institute of Technology, Carlow",,,
296,Information and Communication Technologies (ICTs),Digital Marketing with Analytics,CW848,,,,,,,,8,"Institute of Technology, Carlow",,,
297,Personal services,"Sports Management and Coaching (options, portfolio)",CW858,,,,,,,,8,"Institute of Technology, Carlow",#,,
299,Business and administration,Business (options),CW908,,,,,,,,8,"Institute of Technology, Carlow",,,
303,Business and administration,Business with Law,CW938,,,,,,,,8,"Institute of Technology, Carlow",,,
304,Business and administration,Accounting,CW948,,,,,,,,8,"Institute of Technology, Carlow",,,
305,Information and Communication Technologies (ICTs),Computing,DB500,,,218,,,,,8,Dublin Business School,,avp,
306,Information and Communication Technologies (ICTs),Computing (Cloud Computing),DB501,,,227,,,,,8,Dublin Business School,,avp,
307,Information and Communication Technologies (ICTs),Computing (Data Analytics and Big Data),DB502,,,341,,,,,8,Dublin Business School,,avp,
