code,institution_letters,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021,institution,category
CK702,CK,Dentistry,590 ,613,613,613,*,*,,625*,625*,University College Cork (NUI),Health
CK703,CK,Pharmacy,577 ,589,590,589,,*,,613*,613*,University College Cork (NUI),Health
CK704,CK,Occupational Therapy,532* ,554,566,555,,*,,601*,,University College Cork (NUI),Health
CK705,CK,Speech and Language Therapy,509 ,529,520,,,,,568,566*,University College Cork (NUI),Health
CK706,CK,Public Health Sciences,419 ,451,454,,,,,500,,University College Cork (NUI),Health
CK707,CK,Medical and Health Sciences,510* ,543,542,541,,,,578*,,University College Cork (NUI),Health
CK710,CK,General Nursing,440 ,466,454,,*,,,498*,497*,University College Cork (NUI),Health
CK712,CK,Children`s and General Nursing (Integrated),499 ,520,533,,,,,565,,University College Cork (NUI),Health
CK720,CK,Mental Health Nursing,398 ,429,423,,,,,455,452,University College Cork (NUI),Health
CK730,CK,Intellectual Disability Nursing,359 ,388,419,411,,,,431,,University College Cork (NUI),Health
CK740,CK,Midwifery,444 ,474,484,,,,,509*,,University College Cork (NUI),Health
CK791,CK,Medicine  - Graduate Entry (GAMSAT required),#58* ,59,57,,*,,#,#60*,#60*,University College Cork (NUI),Health
CK116,CK,Sports Studies and Physical Education ,499 ,520,,,,,,,,University College Cork (NUI),
CK502,CK,Food Marketing and Entrepreneurship ,433 ,456,,,,,,,,University College Cork (NUI),
CK506,CK,International Development and Food Policy ,367 ,410,,,,,,,,University College Cork (NUI),
CM001,CM,Education - Primary Teaching,452* ,462,484,,*,,,508,,Marino Institute of Education,Education
CM002,CM,Education - Primary Teaching - Gaeltacht Applicant,#421 ,440,,,,,#,#462,,Marino Institute of Education,Education
CM003,CM,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,#491 ,506,528,,,,#,#513,,Marino Institute of Education,Education
CM004,CM,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,#492 ,569,494,,,,#,#480,,Marino Institute of Education,Education
CM010,CM,Education Studies,317 ,373,319,,,,,382,327,Marino Institute of Education,Education
CM020,CM,Early Childhood Education,336 ,363,327,,,,,317,,Marino Institute of Education,Education
CR105,CR,Chemical and Biopharmaceutical Engineering,432 ,498,443,,,,,443,,Cork Institute of Technology,Engineering and engineering trades
CR106,CR,Software Development,351 ,393,411,,,,,431,,Cork Institute of Technology,Information and Communication Technologies (ICTs)
CR108,CR,Mechanical Engineering,425 ,487,434,,,,,434,,Cork Institute of Technology,Engineering and engineering trades
CR109,CR,Structural Engineering,341 ,467,394,,,,,396,,Cork Institute of Technology,Architecture and construction
CR110,CR,Automotive Business Management and Technology,318 ,347,311,,,,,336,,Cork Institute of Technology,Transport services
CR112,CR,Creative Digital Media at CIT Crawford College of,335 ,389,361,,,,,390,,Cork Institute of Technology,Arts
CR116,CR,Computer Systems,318 ,381,332,,,,,365,,Cork Institute of Technology,Information and Communication Technologies (ICTs)
CR121,CR,Music at CIT Cork School of Music,#633 ,1052,868,,,,#,#904,#904,Cork Institute of Technology,Arts
CR125,CR,Popular Music at CIT Cork School of Music,#972 ,1021,1088,,,,#,#1028,,Cork Institute of Technology,Arts
CR130,CR,Musical Theatre at CIT Cork School of Music,#500 ,600,548,518,,,#,#525,,Cork Institute of Technology,Arts
CR150,CR,Business Information Systems,326 ,371,335,,,,,350,,Cork Institute of Technology,Business and administration
CR210,CR,Contemporary Applied Art (Ceramics  Glass  Textile,#979 ,979,#+matric,,,,#,#450,,Cork Institute of Technology,Arts
CR220,CR,Fine Art at CIT Crawford College of Art and Design,#620 ,819,#+matric,,,,#,#400,,Cork Institute of Technology,Arts
CR225,CR,Photography with New Media at CIT Crawford College,#920 ,920,#+matric,,,,#,#435,,Cork Institute of Technology,Arts
CR305,CR,Physical Sciences (Common Entry),279 ,309,282,,,,,260,,Cork Institute of Technology,Physical sciences
CR310,CR,IT Management,282 ,317,297,,,,,347,,Cork Institute of Technology,Information and Communication Technologies (ICTs)
CR320,CR,Biomedical Science - Offered jointly by CIT and UC,546 ,556,565,,,,,590*,,Cork Institute of Technology,Biological and related sciences
CR325,CR,Pharmaceutical Biotechnology,388 ,422,398,,,,,466,,Cork Institute of Technology,Biological and related sciences
CR333,CR,Nutrition and Health Science,360 ,393,402,,,,,425,,Cork Institute of Technology,Health
CR335,CR,Biological Sciences (Common Entry),381 ,419,420,,,,,473,,Cork Institute of Technology,Biological and related sciences
CR340,CR,Analytical Chemistry with Quality Assurance,288 ,315,251,,,,,327,,Cork Institute of Technology,Physical sciences
CR360,CR,Instrument Engineering,291 ,329,261,,,,,301,,Cork Institute of Technology,Physical sciences
CR365,CR,Environmental Science and Sustainable Technology,334 ,362,253,,,,,262,,Cork Institute of Technology,Environment
CR370,CR,Agri-Biosciences,408 ,431,397,,,,,368,,Cork Institute of Technology,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary"
CR400,CR,Accounting,316 ,389,316,,,,,315,,Cork Institute of Technology,Business and administration
CR420,CR,Marketing,288 ,329,285,,,,,290,,Cork Institute of Technology,Business and administration
CR425,CR,International Business with Language,300 ,392,298,,,,,279,,Cork Institute of Technology,Business and administration
CR430,CR,Sport and Exercise Management,,,322,,,,,402,,Cork Institute of Technology,Personal services
CR435,CR,Coaching Science and Sports Pedagogy,,,,,,,,410,,Cork Institute of Technology,
CR440,CR,Montessori Education,,,288,,,,,409,408,Cork Institute of Technology,Education
CR500,CR,Engineering (Common Entry),381 ,424,411,,,,,475,,Cork Institute of Technology,Engineering and engineering trades
CR510,CR,Sustainable Energy Engineering,319 ,343,320,,,,,320,,Cork Institute of Technology,Environment
CR520,CR,Biomedical Engineering,434 ,477,444,,,,,444,,Cork Institute of Technology,Health
CR560,CR,Architectural Technology,288 ,332,308,,,,,375,,Cork Institute of Technology,Architecture and construction
CR565,CR,Interior Architecture,336 ,390,359,,,,,431,,Cork Institute of Technology,Architecture and construction
CR570,CR,Quantity Surveying,279 ,342,336,,,,,375,,Cork Institute of Technology,Architecture and construction
CR572,CR,Construction Management,253 ,300,269,,,,,300,,Cork Institute of Technology,Architecture and construction
CR580,CR,Electrical Engineering,344 ,374,318,,,,,342,,Cork Institute of Technology,Engineering and engineering trades
CR590,CR,Electronic Engineering,342 ,411,303,,,,,329,,Cork Institute of Technology,Engineering and engineering trades
CR600,CR,Visual Communications at CIT Crawford College of A,#587 ,888,#+matric,,,,#,#280,,Cork Institute of Technology,Arts
CR660,CR,Tourism Management,249 ,290,252,,,,,246,,Cork Institute of Technology,Personal services
CR700,CR,Theatre and Drama Studies at CIT Cork School of Mu,#768 ,906,740,645,,,#,#609,#609,Cork Institute of Technology,Arts
CR930,CR,Home Economics and Business,,,,,,,,518*,,Cork Institute of Technology,
CR126,CR,Popular Music: Drums at CIT Cork School of Music,#878 ,1043,801,,,,#,,,Cork Institute of Technology,Arts
CR127,CR,Popular Music: Electric Guitar at CIT Cork School of Music,#584 ,761,838,768,,,#,,,Cork Institute of Technology,Arts
CR128,CR,Popular Music: Keyboards at CIT Cork School of Music,#839 ,1009,840,,,,#,,,Cork Institute of Technology,Arts
CR129,CR,Popular Music: Voice at CIT Cork School of Music,#857 ,927,841,,,,#,,,Cork Institute of Technology,Arts
CT125,CT,Computing and IT,235 ,280,220,,,,,242,242,CCT College Dublin,Information and Communication Technologies (ICTs)
CT325,CT,Business,,,338,,,,,253,253,CCT College Dublin,Business and administration
CW018,CW,Business (options),327 ,349,298,248,,,,307,,"Institute of Technology, Carlow",Business and administration
CW028,CW,Early Childhood Education and Care,252 ,308,252,,,,,260,,"Institute of Technology, Carlow",Welfare
CW038,CW,Art (portfolio),#700 ,700,700,,,,#,#700,,"Institute of Technology, Carlow",Arts
CW058,CW,Tourism and Event Management,252 ,262,298,,,,,292,,"Institute of Technology, Carlow",Personal services
CW068,CW,Applied Social Studies in Professional Social Care,251 ,280,245,,,,,250,,"Institute of Technology, Carlow",Welfare
CW078,CW,Sustainable Farm Management and Agribusiness,266 ,320,269,,,,,270,,"Institute of Technology, Carlow",Agriculture
CW088,CW,Visual Communications and Design,309 ,345,274,,,,,270,,"Institute of Technology, Carlow",Arts
CW108,CW,Science (options),261 ,326,261,,,,,266,,"Institute of Technology, Carlow",Biological and related sciences
CW128,CW,Brewing and Distilling,271 ,298,263,,,,,307,,"Institute of Technology, Carlow",Biological and related sciences
CW138,CW,Sport and Exercise Science,,,423,,,,,430,423,"Institute of Technology, Carlow",Personal services
CW148,CW,Strength and Conditioning,,,379,,,,,388,,"Institute of Technology, Carlow",Personal services
CW188,CW,Sport Rehabilitation and Athletic Therapy,454 ,473,451,448,,,,451,,"Institute of Technology, Carlow",Health
CW208,CW,Computer Games Development,281 ,338,279,,,,,272,,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs)
CW238,CW,Software Development,300 ,343,297,,,,,295,,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs)
CW248,CW,Information Technology Management,307 ,357,285,,,,,293,,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs)
CW258,CW,Cybercrime and IT Security,300 ,328,293,,,,,292,,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs)
CW268,CW,Computing in Interactive Digital Art and Design,274 ,321,287,,,,,291,,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs)
CW438,CW,Construction (options),271 ,308,272,,,,,260,251,"Institute of Technology, Carlow",Architecture and construction
CW468,CW,Architectural Technology,252 ,290,262,,,,,291,283,"Institute of Technology, Carlow",Architecture and construction
CW478,CW,Civil Engineering,348 ,383,433,,,,,465,,"Institute of Technology, Carlow",Architecture and construction
CW548,CW,Mechanical Engineering,310 ,351,321,,,,,330,328,"Institute of Technology, Carlow",Engineering and engineering trades
CW558,CW,Electronic Systems,279 ,338,280,,,,,280,,"Institute of Technology, Carlow",Engineering and engineering trades
CW568,CW,Aerospace Engineering,366 ,422,380,,,,,371,359,"Institute of Technology, Carlow",Engineering and engineering trades
CW578,CW,TV and Media Production,327 ,361,325,,,,,318,,"Institute of Technology, Carlow",Arts
CW708,CW,Law - LLB,298 ,328,302,,,,,292,,"Institute of Technology, Carlow",Law
CW728,CW,Product Design Innovation,286 ,355,252,,,,,246,,"Institute of Technology, Carlow",Arts
CW748,CW,Early Childhood Education and Care,265 ,338,270,,,,,290,,"Institute of Technology, Carlow",Welfare
CW758,CW,Professional Social Care Practice,290 ,319,336,,,,,360,358,"Institute of Technology, Carlow",Welfare
CW808,CW,Media and Public Relations,248 ,307,251,,,,,247,,"Institute of Technology, Carlow",Business and administration
CW848,CW,Digital Marketing with Analytics,279 ,307,254,,,,,269,,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs)
CW858,CW,Sports Management and Coaching (options  portfolio,#700 ,700,700,,,,#,#700,,"Institute of Technology, Carlow",Personal services
CW908,CW,Business (options),260 ,307,280,,,,,272,,"Institute of Technology, Carlow",Business and administration
CW938,CW,Business with Law,270 ,288,283,,,,,270,,"Institute of Technology, Carlow",Business and administration
CW948,CW,Accounting,301 ,408,300,,,,,319,,"Institute of Technology, Carlow",Business and administration
CW178,CW,Sport Science (options) ,399 ,424,,,,,,,,"Institute of Technology, Carlow",
DB500,DB,Computing,242 ,320,218,218,,,,234,234,Dublin Business School,Information and Communication Technologies (ICTs)
