code,institution_letters,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021,institution,category
MI005,MI,Education - Primary Teaching,473* ,506,495,,,,,522,,Mary Immaculate College,Education
MI006,MI,Education - Primary Teaching - Gaeltacht Applicant,#442 ,473,456,,,,#,#485,,Mary Immaculate College,Education
MI007,MI,Early Childhood Care and Education,366 ,402,357,,,,,409,,Mary Immaculate College,Education
MI008,MI,Education and Psychology - Primary Teaching,543 ,555,588,,,,,590,,Mary Immaculate College,Education
MI009,MI,Education  Business Studies and Accounting,392 ,420,402,,,,,434,,Mary Immaculate College,Education
MI010,MI,Education  Business Studies and Religious Studies,326 ,355,368,,,,,370,,Mary Immaculate College,Education
MI011,MI,Education  Gaeilge and Religious Studies,377 ,387,409,,,,,407,,Mary Immaculate College,Education
MI012,MI,Education  Gaeilge and Business Studies,398 ,440,401,,,,,387,,Mary Immaculate College,Education
MI013,MI,Education  Mathematics and Gaeilge,433 ,465,444,,,,,509,,Mary Immaculate College,Education
MI014,MI,Education  Mathematics and Business Studies,,,434,,,,,476,,Mary Immaculate College,Education
MU001,MU,Theology and Arts,290 ,318,290,290,,,,294,294,"Pontifical University, St Patrick's College",Interdisciplinary programmes and qualifications involving arts and humanities
MU002,MU,Theology,292 ,377,440,,,,,,,"Pontifical University, St Patrick's College",Interdisciplinary programmes and qualifications involving arts and humanities
NC003,NC,Computing (Degree Award options),261 ,316,260,,,,,271,,National College of Ireland (NCI),Information and Communication Technologies (ICTs)
NC005,NC,Human Resource Management,297 ,320,300,,,,,301,,National College of Ireland (NCI),Business and administration
NC009,NC,Business,297 ,339,300,,,,,300,,National College of Ireland (NCI),Business and administration
NC010,NC,Psychology,366 ,399,400,,,,,420,,National College of Ireland (NCI),Social and behavioural sciences
NC020,NC,Marketing Practice,270 ,307,280,,,,,270,,National College of Ireland (NCI),Business and administration
NC022,NC,Accounting and Finance,338 ,376,337,,,,,330,,National College of Ireland (NCI),Business and administration
NC023,NC,Technology Management (with specialisations),260 ,303,261,,,,,266,,National College of Ireland (NCI),Information and Communication Technologies (ICTs)
NC030,NC,Early Childhood Education and Care,,,,,,,,251,251,National College of Ireland (NCI),
NC025,NC,Data Science ,297 ,371,,,,,,,,National College of Ireland (NCI),
NM801,NM,Montessori Education,,,220,,,,,262,,St Nicholas Montessori College Ireland,Education
NM802,NM,Psychology,,,,,,,,228,,St Nicholas Montessori College Ireland,
PC405,PC,Social  Political and Community Studies,251 ,296,253,216,,,,263,235,"Carlow College, St. Patrick`s",Social and behavioural sciences
PC410,PC,Arts and Humanities (fulfils Teaching Council requ,203 ,289,252,209,,,,262,230,"Carlow College, St. Patrick`s",Humanities (except languages)
PC411,PC,English and History (fulfils Teaching Council requ,168 ,289,255,209,,,,243,224,"Carlow College, St. Patrick`s",Humanities (except languages)
RC001,RC,Medicine - Undergraduate Entry (HPAT required),#729 ,733,733,,,,#,#741,#740*,RCSI University of Medicine & Health Sciences,Health
RC004,RC,Physiotherapy,532* ,542,566,,,,,589*,589*,RCSI University of Medicine & Health Sciences,Health
RC005,RC,Pharmacy,555 ,566,579,,,,,613*,613,RCSI University of Medicine & Health Sciences,Health
RC101,RC,Medicine - Graduate Entry (GAMSAT required),#60 ,62,,,,,#,,,RCSI University of Medicine & Health Sciences,Health
SG141,SG,Business,252 ,317,261,,,,,262,,"Institute of Technology, Sligo",Business and administration
SG145,SG,Business and ICT,,,,,,,,279,,"Institute of Technology, Sligo",
SG146,SG,Accounting,307 ,347,309,,,,,304,,"Institute of Technology, Sligo",Business and administration
SG147,SG,Sport with Business,269 ,316,307,,,,,288,,"Institute of Technology, Sligo",Personal services
SG148,SG,Tourism with Event Management,246 ,282,269,,,,,298,,"Institute of Technology, Sligo",Personal services
SG150,SG,Business in Marketing,,,,,,,,298,,"Institute of Technology, Sligo",
SG241,SG,Performing Arts,279 ,348,328,,,,,341,,"Institute of Technology, Sligo",Arts
SG242,SG,Early Childhood Care and Education,278 ,318,279,,,,,287,,"Institute of Technology, Sligo",Welfare
SG243,SG,Social Care Practice,297 ,338,301,,,,,309,,"Institute of Technology, Sligo",Welfare
SG244,SG,Fine Art,#355 ,496,505,,,,#,#501,,"Institute of Technology, Sligo",Arts
SG245,SG,Creative Design,261 ,338,282,,,,,332,,"Institute of Technology, Sligo",Arts
SG246,SG,Computing,295 ,368,290,,,,,316,,"Institute of Technology, Sligo",Information and Communication Technologies (ICTs)
SG247,SG,English and Psychology,308 ,336,309,,,,,319,,"Institute of Technology, Sligo",Social and behavioural sciences
SG248,SG,Sociology and Politics,282 ,320,281,,,,,298,,"Institute of Technology, Sligo",Social and behavioural sciences
SG249,SG,Writing and Literature,279 ,338,297,,,,,308,,"Institute of Technology, Sligo",Languages
SG252,SG,Software Development,300 ,354,307,,,,,310,,"Institute of Technology, Sligo",Information and Communication Technologies (ICTs)
SG253,SG,Computing in Computer Networks and Cyber Security,273 ,341,324,,,,,336,,"Institute of Technology, Sligo",Information and Communication Technologies (ICTs)
SG254,SG,Writing and Literature Online,,,225,225,,,,327,,"Institute of Technology, Sligo",Languages
SG255,SG,Law and Business,,,,,,,,291,,"Institute of Technology, Sligo",
SG341,SG,General Engineering,,,,,,,,373,,"Institute of Technology, Sligo",
SG342,SG,Civil Engineering,,,415,,,,,418,,"Institute of Technology, Sligo",Architecture and construction
SG343,SG,Quantity Surveying,261 ,302,311,,,,,300,,"Institute of Technology, Sligo",Architecture and construction
SG344,SG,Mechanical Engineering,,,,,,,,412,,"Institute of Technology, Sligo",
SG346,SG,Construction Project Management and Applied Techno,289 ,351,291,,,,,313,,"Institute of Technology, Sligo",Architecture and construction
SG347,SG,Architecture,309 ,357,360,,,,,403,,"Institute of Technology, Sligo",Architecture and construction
SG348,SG,Interior Architecture and Design,,,316,,,,,359,,"Institute of Technology, Sligo",Architecture and construction
SG349,SG,Electronics and Self Driving Technologies,,,,,,,,,,"Institute of Technology, Sligo",
SG350,SG,Robotics and Automation,,,,,,,,384,,"Institute of Technology, Sligo",
SG442,SG,Occupational Safety and Health,289 ,330,290,,,,,307,,"Institute of Technology, Sligo",Hygiene and occupational health services
SG443,SG,Human Nutrition,357 ,419,356,,,,,376,,"Institute of Technology, Sligo",Health
SG444,SG,Science Undenominated,308 ,369,338,,,,,358,,"Institute of Technology, Sligo",Biological and related sciences
SG445,SG,Pharmaceutical Science with Drug Development,347 ,369,311,,,,,357,,"Institute of Technology, Sligo",Physical sciences
SG447,SG,Health Science and Physical Activity,316 ,363,328,,,,,326,,"Institute of Technology, Sligo",Health
SG448,SG,Forensic Investigation and Analysis,306 ,348,306,,,,,308,,"Institute of Technology, Sligo",Biological and related sciences
SG449,SG,Medical Biotechnology,329 ,352,341,,,,,315,,"Institute of Technology, Sligo",Health
SG450,SG,Environmental Science with Ecology (Level 8),,,300,,,,,310,,"Institute of Technology, Sligo",Environment
SG142,SG,Business in International Marketing and Languages (French),270 ,388,279,,,,,,,"Institute of Technology, Sligo",Business and administration
SG144,SG,Business in International Marketing and Languages (Spanish),280 ,388,270,,,,,,,"Institute of Technology, Sligo",Business and administration
SG250,SG,Application Design and User Experience,290 ,431,412,,,,,,,"Institute of Technology, Sligo",Information and Communication Technologies (ICTs)
SG251,SG,Computing (Smart Technologies),303 ,391,327,,,,,,,"Institute of Technology, Sligo",Information and Communication Technologies (ICTs)
SG149,SG,Business in Finance and Investment ,262 ,357,,,,,,,,"Institute of Technology, Sligo",
SG441,SG,Environmental Science ,297 ,358,,,,,,,,"Institute of Technology, Sligo",
SG446,SG,Applied Archaeology ,289 ,290,,,,,,,,"Institute of Technology, Sligo",
TA022,TA,Creative Digital Media ,260 ,318,,,,,,,,Technological University Dublin Tallaght Campus,
TA023,TA,Advertising and Marketing Communications ,235 ,299,,,,,,,,Technological University Dublin Tallaght Campus,
TA024,TA,Early Childhood Care and Education ,217 ,307,,,,,,,,Technological University Dublin Tallaght Campus,
TA025,TA,Social Care Practice ,261 ,297,,,,,,,,Technological University Dublin Tallaght Campus,
TA026,TA,International Hospitality and Tourism Management ,208 ,269,,,,,,,,Technological University Dublin Tallaght Campus,
TA027,TA,Botanical Cuisine ,236 ,273,,,,,,,,Technological University Dublin Tallaght Campus,
TA028,TA,Digital Marketing Technologies ,220 ,313,,,,,,,,Technological University Dublin Tallaght Campus,
TA121,TA,Accounting and Finance ,202 ,328,,,,,,,,Technological University Dublin Tallaght Campus,
TA122,TA,Management ,218 ,297,,,,,,,,Technological University Dublin Tallaght Campus,
TA123,TA,Marketing Management ,207 ,284,,,,,,,,Technological University Dublin Tallaght Campus,
TA125,TA,International Business ,229 ,300,,,,,,,,Technological University Dublin Tallaght Campus,
TA221,TA,Electronic Engineering ,251 ,321,,,,,,,,Technological University Dublin Tallaght Campus,
TA222,TA,Mechanical Engineering ,243 ,302,,,,,,,,Technological University Dublin Tallaght Campus,
TA223,TA,Sustainable Energy Engineering ,236 ,305,,,,,,,,Technological University Dublin Tallaght Campus,
TA224,TA,Biomedical Design ,218 ,324,,,,,,,,Technological University Dublin Tallaght Campus,
TA225,TA,Automation Engineering ,235 ,288,,,,,,,,Technological University Dublin Tallaght Campus,
TA226,TA,Engineering Software ,243 ,304,,,,,,,,Technological University Dublin Tallaght Campus,
TA321,TA,Pharmaceutical Science ,261 ,298,,,,,,,,Technological University Dublin Tallaght Campus,
TA322,TA,Computing ,200 ,294,,,,,,,,Technological University Dublin Tallaght Campus,
TA323,TA,Computing with IT Management ,243 ,309,,,,,,,,Technological University Dublin Tallaght Campus,
TA326,TA,DNA and Forensic Analysis ,300 ,362,,,,,,,,Technological University Dublin Tallaght Campus,
TA327,TA,Sports Science and Health ,341 ,381,,,,,,,,Technological University Dublin Tallaght Campus,
TA328,TA,Computing with Language (French/German/Spanish) ,218 ,317,,,,,,,,Technological University Dublin Tallaght Campus,
TA329,TA,Computing with Data Analytics ,218 ,296,,,,,,,,Technological University Dublin Tallaght Campus,
TL801,TL,Animation  Visual Effects and Motion Design (Level,281 ,341,281,,,,,#718,,"Institute of Technology, Tralee",Arts
TL802,TL,TV  Radio and New Media (Level 8),306 ,356,325,,,,,322,,"Institute of Technology, Tralee",Arts
TL810,TL,Computing with Software Development,309 ,341,310,,,,,308,,"Institute of Technology, Tralee",Information and Communication Technologies (ICTs)
TL811,TL,Computing with Games Development,310 ,334,358,,,,,322,,"Institute of Technology, Tralee",Information and Communication Technologies (ICTs)
TL815,TL,Computing (Degree Award options),308 ,378,308,,,,,307,,"Institute of Technology, Tralee",Information and Communication Technologies (ICTs)
TL823,TL,Event Management (3 year programme),291 ,346,299,,,,,293,,"Institute of Technology, Tralee",Personal services
TL831,TL,Business Studies (Major Specialism in: Acctng or M,307 ,372,306,,,,,306,,"Institute of Technology, Tralee",Business and administration
TL842,TL,Construction Management,,,,,,,,,,"Institute of Technology, Tralee",
TL844,TL,Agricultural Engineering,311 ,368,300,,,,,301,,"Institute of Technology, Tralee","Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary"
TL845,TL,Civil Engineering,300 ,364,325,,,,,361,,"Institute of Technology, Tralee",Architecture and construction
TL847,TL,Manufacturing Engineering,,,302,,,,,305,,"Institute of Technology, Tralee",Manufacturing and processing
TL848,TL,Agricultural Science,331 ,362,308,,,,,307,,"Institute of Technology, Tralee","Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary"
TL851,TL,Wildlife Biology (Degree Award options),310 ,362,309,,,,,309,,"Institute of Technology, Tralee",Environment
TL855,TL,Pharmaceutical Science (Degree Award options),342 ,386,317,,,,,316,,"Institute of Technology, Tralee",Health
TL858,TL,Veterinary Bioscience,326 ,369,308,,,,,317,,"Institute of Technology, Tralee",Veterinary
TL871,TL,Health and Leisure (Degree Award options),303 ,346,300,,,,,303,,"Institute of Technology, Tralee",Personal services
TL872,TL,Health and Leisure with Massage,288 ,357,309,,,,,314,,"Institute of Technology, Tralee",Personal services
TL873,TL,Coaching and Sports Performance,282 ,336,289,,,,,308,,"Institute of Technology, Tralee",Personal services
TL874,TL,Inclusive Sport and Physical Activity,,,,,,,,341,,"Institute of Technology, Tralee",
TL880,TL,Early Childhood Care and Education,307 ,347,307,,,,,309,,"Institute of Technology, Tralee",Welfare
TL881,TL,Social Care,308 ,356,308,,,,,301,,"Institute of Technology, Tralee",Welfare
TL889,TL,Counselling with Addiction - Mature applicants onl,#,,,,,,#,,,"Institute of Technology, Tralee",Welfare
TL890,TL,General Nursing and Mature Applicants,407 ,431,440,414,*,,,463,,"Institute of Technology, Tralee",Health
TL891,TL,Mental Health Nursing and Mature Applicants,367* ,379,389,378,,,,440,419,"Institute of Technology, Tralee",Health
TL803,TL,Music Technology ,264 ,288,,,,,,,,"Institute of Technology, Tralee",
TL812,TL,Computing with Digital Media ,369 ,369,,,,,,,,"Institute of Technology, Tralee",
TR002,TR,Music,#414 ,473,435,429,,,,508,477*,Trinity College Dublin,Arts
TR003,TR,History,486 ,518,497,493,,,,552,543*,Trinity College Dublin,Humanities (except languages)
TR004,TR,Law,532 ,552,566,565,,*,,590*,589,Trinity College Dublin,Law
TR005,TR,Philosophy,391 ,446,442,,,,,510,497,Trinity College Dublin,Humanities (except languages)
TR006,TR,Psychology,555* ,577,567,555,,*,,601*,590,Trinity College Dublin,Social and behavioural sciences
TR007,TR,Clinical Speech and Language Studies,499 ,529,529,,,,,564*,,Trinity College Dublin,Health
TR009,TR,Music Education,#430 ,465,420,,,,#,#496,#486,Trinity College Dublin,Education
TR015,TR,Philosophy  Political Science  Economics and Socio,566 ,577,589,,,,,613*,613*,Trinity College Dublin,Social and behavioural sciences
TR016,TR,Deaf Studies,337 ,372,340,,,,,389,,Trinity College Dublin,Languages
TR018,TR,Law and French,532* ,554,565,,,,,602*,602,Trinity College Dublin,Law
TR019,TR,Law and German,523 ,555,543,542,,,,577,567,Trinity College Dublin,Law
TR021,TR,Classics  Ancient History and Archaeology,377 ,495,370,,,,,467,462,Trinity College Dublin,Humanities (except languages)
TR022,TR,Early and Modern Irish,347 ,407,398,,,,,377,,Trinity College Dublin,Languages
TR023,TR,English Studies,463 ,511,487,476,,,,546,541*,Trinity College Dublin,Languages
TR024,TR,European Studies,520 ,544,544,542,,,,566,,Trinity College Dublin,Humanities (except languages)
TR025,TR,Drama and Theatre Studies,#489 ,531,564,530,,,#,#543,#519,Trinity College Dublin,Arts
TR028,TR,Ancient and Medieval History and Culture,339 ,451,342,,,,,498,463,Trinity College Dublin,Humanities (except languages)
TR031,TR,Mathematics,566 ,589,531,,,,,579,578,Trinity College Dublin,Mathematics and statistics
TR032,TR,Engineering,487* ,520,510,509,,*,,556,555,Trinity College Dublin,Engineering and engineering trades
TR033,TR,Computer Science,465* ,488,509,,,,,566*,549,Trinity College Dublin,Information and Communication Technologies (ICTs)
TR034,TR,Management Science and Information Systems Studies,589* ,602,613,,*,,,625*,625*,Trinity College Dublin,Business and administration
TR035,TR,Theoretical Physics,554 ,601,543,,,,,590,589*,Trinity College Dublin,Physical sciences
TR038,TR,Engineering with Management,499 ,543,532,,,,,589*,589*,Trinity College Dublin,Engineering and engineering trades
TR039,TR,Computer Science  Linguistics and a Language,435 ,498,454,424,,,,443,,Trinity College Dublin,Information and Communication Technologies (ICTs)
TR040,TR,Middle Eastern and European Languages and Cultures,485 ,518,466,,,,,520,499,Trinity College Dublin,Languages
TR041,TR,Religion,347 ,393,368,,,,,417,,Trinity College Dublin,Humanities (except languages)
TR042,TR,Film,,,489,476,,,,531,522,Trinity College Dublin,Arts
TR043,TR,History of Art and Architecture,,,393,354,,,,498,486,Trinity College Dublin,Humanities (except languages)
TR051,TR,Medicine (HPAT required),#730 ,739,735,734,*,*,#,#743*,#743*,Trinity College Dublin,Health
TR052,TR,Dental Science,590* ,602,613,613,*,*,,625*,625*,Trinity College Dublin,Health
TR053,TR,Physiotherapy,533* ,544,566,566,*,*,,590*,,Trinity College Dublin,Health
TR054,TR,Occupational Therapy,500 ,520,533,,,,,578*,577*,Trinity College Dublin,Health
TR055,TR,Radiation Therapy,510 ,521,543,,,,,577,566,Trinity College Dublin,Health
TR056,TR,Human Health and Disease,543 ,565,565,,,,,601*,,Trinity College Dublin,Health
TR060,TR,Biological and Biomedical Sciences,510* ,542,543,543,*,,,578*,577*,Trinity College Dublin,Biological and related sciences
TR061,TR,Chemical Sciences,488* ,520,517,510,,,,558,554*,Trinity College Dublin,Physical sciences
TR062,TR,Geography and Geoscience,435 ,485,473,,,,,495,,Trinity College Dublin,Physical sciences
TR063,TR,Physical Sciences,498* ,543,498,498,*,,,554,543,Trinity College Dublin,Physical sciences
TR064,TR,Environmental Science and Engineering,,,,,,,,555,,Trinity College Dublin,
TR072,TR,Pharmacy,555* ,577,590,,,,,613*,613*,Trinity College Dublin,Health
TR080,TR,Global Business,565 ,577,589,,*,,,613*,,Trinity College Dublin,Business and administration
TR081,TR,Business  Economic and Social Studies (BESS),518* ,542,543,543,*,*,,577,567*,Trinity College Dublin,Social and behavioural sciences
TR084,TR,Social Studies (Social Work),420* ,462,462,,*,,,497,487*,Trinity College Dublin,Welfare
TR085,TR,Business Studies and French,509 ,553,540,531,,,,564,,Trinity College Dublin,Business and administration
TR086,TR,Business Studies and German,474 ,495,509,499,,*,,530,,Trinity College Dublin,Business and administration
TR087,TR,Business Studies and Russian,467 ,487,474,465,,,,487,,Trinity College Dublin,Business and administration
TR089,TR,Business Studies and Polish,393 ,434,444,424,,,,391,,Trinity College Dublin,Business and administration
TR090,TR,Business Studies and Spanish,510 ,543,531,,*,,,566,,Trinity College Dublin,Business and administration
TR091,TR,General Nursing (Meath and St James`s),393* ,420,429,,,,,462,456*,Trinity College Dublin,Health
TR093,TR,General Nursing (Adelaide School of Nursing),#378* ,409,430,429,,,#,#473,,Trinity College Dublin,Health
TR095,TR,Mental Health Nursing,358 ,377,408,,,,,442,,Trinity College Dublin,Health
TR097,TR,Intellectual Disability Nursing,346 ,350,396,,,,,412,410,Trinity College Dublin,Health
TR911,TR,Children`s and General Nursing (Integrated),476* ,487,511,510,,,,531*,,Trinity College Dublin,Health
TR913,TR,Midwifery,423 ,462,478,477,,*,,521,,Trinity College Dublin,Health
TR012,TR,History and Political Science,532* ,557,555,554,,,,,,Trinity College Dublin,Humanities (except languages)
TR017,TR,Law and Business,576 ,589,602,,,,,,,Trinity College Dublin,Law
TR020,TR,Law and Political Science,567 ,600,602,,,,,,,Trinity College Dublin,Law
TR029,TR,Political Science and Geography,477 ,500,526,520,,,,,,Trinity College Dublin,Social and behavioural sciences
TR082,TR,Computer Science and Business,510 ,542,555,,,,,,,Trinity College Dublin,Business and administration
TR083,TR,Sociology and Social Policy,451 ,474,498,487,,,,,,Trinity College Dublin,Social and behavioural sciences
TR111,TR,Ancient History and Archaeology/Geography,,,352,,,,,,,Trinity College Dublin,Arts
TR112,TR,Ancient History and Archaeology/History,,,529,,,,,,,Trinity College Dublin,Arts
TR113,TR,Ancient History and Archaeology/History of Art and Architecture,,,337,,,,,,,Trinity College Dublin,Arts
TR114,TR,Ancient History and Archaeology/Modern Language,,,337,,,,,,,Trinity College Dublin,Arts
TR117,TR,Ancient History and Archaeology/Religion,,,342,,,,,,,Trinity College Dublin,Arts
TR166,TR,Classical Civilisation/English Literature,,,498,496,*,,,,,Trinity College Dublin,Arts
TR173,TR,Classical Civilisation/History of Art and Architecture,,,335,,,,,,,Trinity College Dublin,Arts
TR177,TR,Classical Civilisation/Modern Language,,,335,,,,,,,Trinity College Dublin,Arts
TR179,TR,Classical Civilisation/Philosophy,,,499,,,,,,,Trinity College Dublin,Arts
TR198,TR,Economics/Geography,,,534,,,,,,,Trinity College Dublin,Arts
TR202,TR,Economics/History,,,534,,,,,,,Trinity College Dublin,Arts
TR207,TR,Economics/Mathematics,,,566,,*,,,,,Trinity College Dublin,Arts
TR208,TR,Economics/Modern Language,,,534,,,,,,,Trinity College Dublin,Arts
TR209,TR,Economics/Philosophy,,,534,,,,,,,Trinity College Dublin,Arts
TR212,TR,Economics/Sociology,,,534,,,,,,,Trinity College Dublin,Arts
TR228,TR,Classical Languages/English Literature,,,498,,*,,,,,Trinity College Dublin,Interdisciplinary programmes and qualifications involving arts and humanities
TR231,TR,Classical Languages/History of Art and Architecture,,,349,,,,,,,Trinity College Dublin,Interdisciplinary programmes and qualifications involving arts and humanities
TR233,TR,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",,,349,,,,,,,Trinity College Dublin,Interdisciplinary programmes and qualifications involving arts and humanities
TR239,TR,Classical Languages/Modern Language,,,349,,,,,,,Trinity College Dublin,Arts
TR262,TR,English Literature/History,,,529,,,,,,,Trinity College Dublin,Arts
TR263,TR,English Literature/History of Art and Architecture,,,498,497,*,,,,,Trinity College Dublin,Arts
TR269,TR,English Literature/Philosophy,,,499,,,,,,,Trinity College Dublin,Arts
TR272,TR,English Literature/Sociology,,,498,,*,,,,,Trinity College Dublin,Arts
TR276,TR,English Literature/Drama Studies,,,#498,,,,#,,,Trinity College Dublin,Arts
TR277,TR,English Literature/Modern Language,,,498,495,*,,,,,Trinity College Dublin,Arts
TR311,TR,Film/Drama Studies,,,#521,,*,,#,,,Trinity College Dublin,Arts
TR312,TR,Film/English Literature,,,521,,*,,,,,Trinity College Dublin,Arts
TR320,TR,Film/Music,,,521,,*,,#,,,Trinity College Dublin,Arts
TR322,TR,Geography/History,,,529,,,,,,,Trinity College Dublin,Arts
TR323,TR,Drama Studies/Modern Language,,,#473,,,,#,,,Trinity College Dublin,Arts
TR324,TR,Film/Modern Language,,,521,,*,,,,,Trinity College Dublin,Arts
TR325,TR,Film/History,,,529,,,,,,,Trinity College Dublin,Arts
TR326,TR,Geography/Modern Language,,,352,,,,,,,Trinity College Dublin,Arts
TR332,TR,Geography/Sociology,,,498,496,*,,,,,Trinity College Dublin,Arts
TR443,TR,History/History of Art and Architecture,,,529,,,,,,,Trinity College Dublin,Arts
TR447,TR,History/Modern Language,,,529,,,,,,,Trinity College Dublin,Arts
TR449,TR,History/Philosophy,,,529,,,,,,,Trinity College Dublin,Arts
TR452,TR,History/Sociology,,,529,,,,,,,Trinity College Dublin,Arts
TR454,TR,History/Religion,,,529,,,,,,,Trinity College Dublin,Arts
TR455,TR,History of Art and Architecture/Modern Language,,,334,,,,,,,Trinity College Dublin,Arts
TR479,TR,History of Art and Architecture/Philosophy,,,499,,,,,,,Trinity College Dublin,Arts
TR547,TR,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",,,337,,,,,,,Trinity College Dublin,Arts
TR548,TR,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",,,335,,,,,,,Trinity College Dublin,Arts
TR554,TR,"Middle Eastern,Jewish and Islamic Civilisations/History",,,529,,,,,,,Trinity College Dublin,Arts
TR563,TR,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",,,335,,,,,,,Trinity College Dublin,Arts
TR564,TR,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,,,,,#,,,Trinity College Dublin,Arts
TR565,TR,"Middle Eastern,Jewish and Islamic Civilisations/Religion",,,342,,,,,,,Trinity College Dublin,Arts
TR597,TR,Mathematics/Modern Language,,,566,,*,,,,,Trinity College Dublin,Arts
TR598,TR,Mathematics/Music,,,566,,*,,#,,,Trinity College Dublin,Arts
TR599,TR,Mathematics/Philosophy,,,566,,*,,,,,Trinity College Dublin,Arts
TR629,TR,Music/Philosophy,,,499,,,,#,,,Trinity College Dublin,Arts
TR635,TR,Music/Drama Studies,,,#473,,,,#,,,Trinity College Dublin,Arts
TR636,TR,Music/Modern Language,,,388,,,,#,,,Trinity College Dublin,Arts
TR638,TR,Music/Religion,,,388,,,,#,,,Trinity College Dublin,Arts
TR639,TR,Philosophy/Modern Language,,,499,,,,,,,Trinity College Dublin,Arts
TR662,TR,Philosophy/Sociology,,,499,,,,,,,Trinity College Dublin,Arts
TR663,TR,Religion/Classical Civilisation,,,342,,,,,,,Trinity College Dublin,Arts
TR664,TR,Religion/English Literature,,,498,,*,,,,,Trinity College Dublin,Arts
TR665,TR,Religion/History of Art and Architecture,,,342,,,,,,,Trinity College Dublin,Arts
TR666,TR,Religion/Modern Language,,,,,,,,,,Trinity College Dublin,Arts
TR667,TR,French/Modern Language,,,403,,,,,,,Trinity College Dublin,Arts
TR668,TR,German/Modern Language,,,389,,,,,,,Trinity College Dublin,Arts
TR669,TR,Irish/Modern Language,,,368,,,,,,,Trinity College Dublin,Arts
TR670,TR,Italian/Modern Language,,,381,,,,,,,Trinity College Dublin,Arts
TR671,TR,Russian/Modern Language,,,332,,,,,,,Trinity College Dublin,Arts
TR672,TR,Spanish/Modern Language,,,336,,,,,,,Trinity College Dublin,Arts
TR755,TR,Sociology/Drama Studies,,,#498,,,,#,,,Trinity College Dublin,Arts
TR756,TR,Sociology/Modern Language,,,498,495,,,,,,Trinity College Dublin,Arts
TU801,TU,Sustainable Energy Engineering,,,235,,,,,235,,Technological University Dublin,Engineering and engineering trades
TU802,TU,Electrical Services and Energy Management,,,317,300,,,,309,,Technological University Dublin,Engineering and engineering trades
TU804,TU,Engineering (Common Entry with Award options),,,271,,,,,270,,Technological University Dublin,Engineering and engineering trades
TU805,TU,Engineering (General Entry),,,402,,,,,466,465,Technological University Dublin,Engineering and engineering trades
TU807,TU,Computer Engineering in Mobile Systems,,,276,,,,,274,,Technological University Dublin,Engineering and engineering trades
TU810,TU,Mechatronic Engineering,,,270,,,,,271,,Technological University Dublin,Engineering and engineering trades
TU811,TU,Product Design,,,411,,,,,440,434,Technological University Dublin,Arts
TU812,TU,Design Technology and Innovation,,,270,,,,,278,,Technological University Dublin,Manufacturing and processing
TU814,TU,Sustainable Transport Management,,,285,251,,,,253,253,Technological University Dublin,Transport services
TU828,TU,Mechanical Engineering (General Entry),,,,,,,,300,,Technological University Dublin,
TU829,TU,Electronic Engineering (General Entry),,,,,,,,248,248,Technological University Dublin,
TU831,TU,Architectural Technology,,,410,,,,,423,,Technological University Dublin,Architecture and construction
TU832,TU,Architecture (Suitability Test and Interview),,,622,,,,#,#644,#638,Technological University Dublin,Architecture and construction
TU833,TU,Construction Management,,,367,,,,,396,,Technological University Dublin,Architecture and construction
TU834,TU,Geographic Science,,,288,,,,,315,,Technological University Dublin,Architecture and construction
TU835,TU,Planning and Environmental Management,,,313,,,,,330,,Technological University Dublin,Architecture and construction
TU836,TU,Property Economics (Valuation Surveying),,,401,,,,,411,,Technological University Dublin,Architecture and construction
TU837,TU,Quantity Surveying and Construction Economics,,,385,,,,,413,,Technological University Dublin,Architecture and construction
TU838,TU,Sustainable Timber Technology,,,,,,,,307,271,Technological University Dublin,
TU851,TU,Analytical Chemistry (Environmental  Forensic and,,,349,,,,,400,,Technological University Dublin,Environment
TU852,TU,Chemical Sciences with Medicinal Chemistry,,,476,,,,,477,,Technological University Dublin,Physical sciences
TU854,TU,Science (General Entry),,,476,,,,,510,,Technological University Dublin,Biological and related sciences
TU855,TU,Science with Nanotechnology,,,331,319,,,,322,,Technological University Dublin,Physical sciences
TU856,TU,Computer Science,,,476,,,,,499,,Technological University Dublin,Information and Communication Technologies (ICTs)
TU857,TU,Computer Science (Infrastructure),,,391,,,,,403,,Technological University Dublin,Information and Communication Technologies (ICTs)
TU858,TU,Computer Science (International),,,377,,,,,395,,Technological University Dublin,Information and Communication Technologies (ICTs)
TU859,TU,Computing,,,217,234,,,,251,,Technological University Dublin,Information and Communication Technologies (ICTs)
TU860,TU,Computing (Information Technology),,,260,,,,,270,,Technological University Dublin,Information and Communication Technologies (ICTs)
TU861,TU,Computing with Language (French/German/Spanish),,,308,308,,,,235,235,Technological University Dublin,Information and Communication Technologies (ICTs)
