,2021,,,,,,,,,2020,,,,,,,,eos,mid,,,,,
COURSE CODE2,COURSE TITLE,r1,r2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
CR333,Nutrition and Health Science,425,,,,,,,,Law,Law and Irish,CK304,540,,,,540,,565,8,University College Cork (NUI),,,
CR335,Biological Sciences (Common Entry),473,,,,,,,,Law,Law and Business,CK307,556,,,,556,,589,8,University College Cork (NUI),,,
CR340,Analytical Chemistry with Quality Assurance,327,,,,,,,,Information and Communication Technologies (ICTs),Computer Science,CK401,468,,,,468,,509,8,University College Cork (NUI),,,
CR360,Instrument Engineering,301,,,,,,,,Biological and related sciences,Biological and Chemical Sciences,CK402,510,*,509,*,509,,532,8,University College Cork (NUI),,,
CR365,Environmental Science and Sustainable Technology,262,,,,,,,,Biological and related sciences,"Biological, Earth and Environmental Sciences",CK404,467,,,,465,,498,8,University College Cork (NUI),,,
CR370,Agri-Biosciences,368,,,,,,,,Biological and related sciences,Genetics,CK405,487,,,,487,,498,8,University College Cork (NUI),,,
CR400,Accounting,315,,,,,,,,Physical sciences,Chemical Sciences,CK406,485,,472,,462,,494,8,University College Cork (NUI),,,
CR420,Marketing,290,,,,,,,,Mathematics and statistics,Mathematical Sciences,CK407,566,,565,*,565,,601,8,University College Cork (NUI),,,
CR425,International Business with Language,279,,,,,,,,Physical sciences,Physics and Astrophysics,CK408,554,,542,,531,*,589,8,University College Cork (NUI),,,
CR430,Sport and Exercise Management,402,,,,,,,,Physical sciences,Industrial Physics - Offered jointly by UCC and CIT,CK409,432,,,,432,,499,8,University College Cork (NUI),,,
CR435,Coaching Science and Sports Pedagogy,410,,,,,,,,Information and Communication Technologies (ICTs),Data Science and Analytics,CK411,510,,,,509,,554,8,University College Cork (NUI),,,
CR440,Montessori Education,409,408,,,,,,,Agriculture,Agricultural Science,CK412,496,*,496,*,489,*,510,8,University College Cork (NUI),,,
CR500,Engineering (Common Entry),475,,,,,,,,Biological and related sciences,Nutritional Sciences,CK504,518,,,,517,*,554,8,University College Cork (NUI),,,
CR510,Sustainable Energy Engineering,320,,,,,,,,Manufacturing and processing,Food Science,CK505,441,,440,*,420,,465,8,University College Cork (NUI),,,
CR520,Biomedical Engineering,444,,,,,,,,Engineering and engineering trades,Engineering,CK600,487,,,,487,,532,8,University College Cork (NUI),,,
CR560,Architectural Technology,375,,,,,,,,Architecture and construction,Architecture - Offered jointly by UCC and CIT,CK606,484,,476,,469,,510,8,University College Cork (NUI),,,
CR565,Interior Architecture,431,,,,,,,,Health,Medicine (Undergraduate Entry - HPAT required),CK701,731,,,,731,,739,8,University College Cork (NUI),#,,
CR570,Quantity Surveying,375,,,,,,,,Health,Dentistry,CK702,613,*,613,*,613,*,613,8,University College Cork (NUI),,,
CR572,Construction Management,300,,,,,,,,Health,Pharmacy,CK703,590,,589,*,589,*,602,8,University College Cork (NUI),,,
CR580,Electrical Engineering,342,,,,,,,,Health,Occupational Therapy,CK704,566,,555,*,555,*,577,8,University College Cork (NUI),,,
CR590,Electronic Engineering,329,,,,,,,,Health,Speech and Language Therapy,CK705,520,,,,520,,541,8,University College Cork (NUI),,,
CR600,Visual Communications at CIT Crawford College of A,#280,,,,,,,,Health,Public Health Sciences,CK706,454,,,,454,,477,8,University College Cork (NUI),,,
CR660,Tourism Management,246,,,,,,,,Health,Medical and Health Sciences,CK707,542,,541,,541,,555,8,University College Cork (NUI),,,
CR700,Theatre and Drama Studies at CIT Cork School of Mu,#609,#609,,,,,,,Health,General Nursing,CK710,454,*,,,454,*,477,8,University College Cork (NUI),,,
CR930,Home Economics and Business,518*,,,,,,,,Health,Children`s and General Nursing (Integrated),CK712,533,,,,533,,553,8,University College Cork (NUI),,,
CK101,Arts - 3 years,300,,,,,,,,Health,Mental Health Nursing,CK720,423,,,,419,,440,8,University College Cork (NUI),,,
CK102,Social Science,434,431,,,,,,,Health,Intellectual Disability Nursing,CK730,419,,411,,400,,433,8,University College Cork (NUI),,,
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,#339,,,,,,,,Health,Midwifery,CK740,484,,,,473,*,507,8,University College Cork (NUI),,,
CK105,Film and Screen Media - 3 years or 4 years (Intern,421,420*,,,,,,,Health,Medicine  - Graduate Entry (GAMSAT required),CK791,57,*,,,57,*,58,8,University College Cork (NUI),#,,
CK107,Geographical and Archaeological Sciences - 3 or 4,312,,,,,,,,Education,Education - Primary Teaching,CM001,484,*,,,484,*,487,8,Marino Institute of Education,,,
CK108,Arts International - 4 years,440*,440,,,,,,,Education,Education - Primary Teaching - Gaeltacht Applicants,CM002,,,,,,,,8,Marino Institute of Education,#,,
CK109,English - 3 years or 4 years (International Pathwa,367,357,,,,,,,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM003,528,,,,528,,570,8,Marino Institute of Education,#,,
CK110,World Languages,488,,,,,,,,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM004,494,,,,494,,513,8,Marino Institute of Education,#,,
CK111,Early Years and Childhood Studies,409,403,,,,,,,Education,Education Studies,CM010,319,,,,317,,407,8,Marino Institute of Education,,avp,
CK112,Theatre and Performative Practices - 3 or 4 years,#371,,,,,,,,Education,Early Childhood Education,CM020,327,,,,327,,390,8,Marino Institute of Education,,,
CK113,Criminology - 3 years or 4 years (International Pa,464,463,,,,,,,Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,CR105,443,,,,443,,532,8,Cork Institute of Technology,,,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347,339,,,,,,,Information and Communication Technologies (ICTs),Software Development,CR106,411,,,,411,,463,8,Cork Institute of Technology,,,
CK120,Applied Psychology,544,543*,,,,,,,Engineering and engineering trades,Mechanical Engineering,CR108,434,,,,434,,509,8,Cork Institute of Technology,,,
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499,488,,,,,,,Architecture and construction,Structural Engineering,CR109,394,,,,394,,423,8,Cork Institute of Technology,,,
CK122,Government and Political Science,399,,,,,,,,Transport services,Automotive Business Management and Technology,CR110,311,,,,311,,362,8,Cork Institute of Technology,,,
CK123,Anthropology,308,,,,,,,,Arts,Creative Digital Media,CR112,361,,,,361,,430,8,Cork Institute of Technology,,,
CK124,Education - Gaeilge,473,,,,,,,,Information and Communication Technologies (ICTs),Computer Systems,CR116,332,,,,332,,393,8,Cork Institute of Technology,,,
CK125,Sports Studies and Physical Education,564,555*,,,,,,,Arts,Music at CIT Cork School of Music,CR121,868,,,,912,,1078,8,Cork Institute of Technology,#,,
CK201,Commerce,500,499*,,,,,,,Arts,Popular Music: Electric Bass Guitar at CIT Cork School of Music,CR125,1088,,,,1088,,1088,8,Cork Institute of Technology,#,,
CK202,Accounting,553,543*,,,,,,,Arts,Popular Music: Drums at CIT Cork School of Music,CR126,801,,,,801,,940,8,Cork Institute of Technology,#,,
CK203,Business Information Systems,455,452,,,,,,,Arts,Popular Music: Electric Guitar at CIT Cork School of Music,CR127,838,,768,,768,,978,8,Cork Institute of Technology,#,,
CK204,Finance,566*,566*,,,,,,,Arts,Popular Music: Keyboards at CIT Cork School of Music,CR128,840,,,,840,,881,8,Cork Institute of Technology,#,,
CK205,Commerce (International) with French,465,,,,,,,,Arts,Popular Music: Voice at CIT Cork School of Music,CR129,841,,,,841,,966,8,Cork Institute of Technology,#,,
CK206,Commerce (International) with German,466,455,,,,,,,Arts,Musical Theatre at CIT Cork School of Music,CR130,548,,518,,505,,600,8,Cork Institute of Technology,#,,
CK207,Commerce (International) with Italian,423,418,,,,,,,Business and administration,Business Information Systems,CR150,335,,,,335,,391,8,Cork Institute of Technology,,,
CK208,Commerce (International) with Hispanic Studies,488,486,,,,,,,Arts,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,
CK209,Commerce (International) with Irish,507,,,,,,,,Arts,Fine Art at CIT Crawford College of Art and Design,CR220,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,
CK211,Commerce (International) with Chinese Studies,385,,,,,,,,Arts,Photography with New Media,CR225,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,
CK212,Economics (through Transformational Learning) 3 or,445,444,,,,,,,Physical sciences,Physical Sciences (Common Entry),CR305,282,,,,282,,356,8,Cork Institute of Technology,,,
CK213,Food Marketing and Entrepreneurship,466,,,,,,,,Information and Communication Technologies (ICTs),IT Management,CR310,297,,,,297,,339,8,Cork Institute of Technology,,,
CK214,International Development,332,,,,,,,,Biological and related sciences,Biomedical Science - Offered jointly by CIT and UCC,CR320,565,,,,565,,577,8,Cork Institute of Technology,,,
CK301,Law (Pathways) -  3 or 4 years,533,532*,,,,,,,Biological and related sciences,Pharmaceutical Biotechnology,CR325,398,,,,398,,440,8,Cork Institute of Technology,,,
CK302,Law and French,545,,,,,,,,Health,Nutrition and Health Science,CR333,402,,,,402,,433,8,Cork Institute of Technology,,,
CK304,Law and Irish,588,,,,,,,,Biological and related sciences,Biological Sciences (Common Entry),CR335,420,,,,420,,451,8,Cork Institute of Technology,,,
CK307,Law and Business,589*,589*,,,,,,,Physical sciences,Analytical Chemistry with Quality Assurance,CR340,251,,,,251,,366,8,Cork Institute of Technology,,,
